CityCount,Algorithm,ThreadCount,RuntimeMS
9152,Genetic,1,42
9152,Genetic,2,34
9152,Genetic,4,33
9152,Genetic,8,36
9152,Genetic,16,73
CityCount,Algorithm,ThreadCount,RuntimeMS
9152,Genetic,1,47
9152,Genetic,2,38
9152,Genetic,4,37
9152,Genetic,8,52
9152,Genetic,16,77
9152,Genetic,24,86
CityCount,Algorithm,ThreadCount,RuntimeMS
9152,Genetic,1,45
9152,Genetic,2,36
9152,Genetic,4,33
9152,Genetic,8,51
9152,Genetic,16,73
CityCount,Algorithm,ThreadCount,RuntimeMS
9152,Genetic,1,44
9152,Genetic,2,34
9152,Genetic,4,33
9152,Genetic,8,51
9152,Genetic,16,71
CityCount,Algorithm,ThreadCount,RuntimeMS
9152,Genetic,1,43
9152,Genetic,2,34
9152,Genetic,4,34
9152,Genetic,8,36
9152,Genetic,16,70
71009,Genetic,1,251
71009,Genetic,2,254
71009,Genetic,4,255
71009,Genetic,8,267
71009,Genetic,16,412
38,Genetic,1,1
38,Genetic,2,0
38,Genetic,4,0
38,Genetic,8,1
38,Genetic,16,2
7146,Genetic,1,26
7146,Genetic,2,24
7146,Genetic,4,25
7146,Genetic,8,26
7146,Genetic,16,44
8246,Genetic,1,30
8246,Genetic,2,30
8246,Genetic,4,32
8246,Genetic,8,31
8246,Genetic,16,47
10639,Genetic,1,37
10639,Genetic,2,38
10639,Genetic,4,41
10639,Genetic,8,40
10639,Genetic,16,71
9882,Genetic,1,35
9882,Genetic,2,35
9882,Genetic,4,35
9882,Genetic,8,39
9882,Genetic,16,67
9847,Genetic,1,36
9847,Genetic,2,37
9847,Genetic,4,36
9847,Genetic,8,48
9847,Genetic,16,69
9976,Genetic,1,35
9976,Genetic,2,35
9976,Genetic,4,35
9976,Genetic,8,38
9976,Genetic,16,71
980,Genetic,1,4
980,Genetic,2,4
980,Genetic,4,4
980,Genetic,8,4
980,Genetic,16,9
14185,Genetic,1,50
14185,Genetic,2,50
14185,Genetic,4,50
14185,Genetic,8,54
14185,Genetic,16,85
1979,Genetic,1,7
1979,Genetic,2,8
1979,Genetic,4,8
1979,Genetic,8,8
1979,Genetic,16,14
3496,Genetic,1,13
3496,Genetic,2,12
3496,Genetic,4,14
3496,Genetic,8,14
3496,Genetic,16,25
194,Genetic,1,1
194,Genetic,2,1
194,Genetic,4,2
194,Genetic,8,1
194,Genetic,16,2
1621,Genetic,1,6
1621,Genetic,2,6
1621,Genetic,4,7
1621,Genetic,8,7
1621,Genetic,16,12
24978,Genetic,1,88
24978,Genetic,2,89
24978,Genetic,4,87
24978,Genetic,8,92
24978,Genetic,16,149
6117,Genetic,1,22
6117,Genetic,2,21
6117,Genetic,4,22
6117,Genetic,8,22
6117,Genetic,16,42
734,Genetic,1,3
734,Genetic,2,2
734,Genetic,4,4
734,Genetic,8,4
734,Genetic,16,6
22775,Genetic,1,79
22775,Genetic,2,80
22775,Genetic,4,82
22775,Genetic,8,84
22775,Genetic,16,133
29,Genetic,1,0
29,Genetic,2,0
29,Genetic,4,0
29,Genetic,8,1
29,Genetic,16,1
7663,Genetic,1,27
7663,Genetic,2,27
7663,Genetic,4,30
7663,Genetic,8,30
7663,Genetic,16,46
929,Genetic,1,4
929,Genetic,2,4
929,Genetic,4,4
929,Genetic,8,4
929,Genetic,16,7
CityCount,Algorithm,ThreadCount,RuntimeMS
9152,Genetic,1,45
9152,Genetic,2,35
9152,Genetic,4,42
9152,Genetic,8,43
9152,Genetic,16,70
33708,Genetic,1,125
33708,Genetic,2,121
33708,Genetic,4,122
33708,Genetic,8,134
33708,Genetic,16,205
71009,Genetic,1,258
71009,Genetic,2,251
71009,Genetic,4,252
71009,Genetic,8,278
71009,Genetic,16,423
38,Genetic,1,0
38,Genetic,2,0
38,Genetic,4,0
38,Genetic,8,0
38,Genetic,16,1
7146,Genetic,1,25
7146,Genetic,2,26
